;cosmo_data;apollo_data
2020-06-18 08:00:00;18.98570000000001;23.148827777775946
2020-06-18 09:00:00;20.676870000000065;24.886519444442488
2020-06-18 10:00:00;21.665549999999996;26.057816666664657
2020-06-18 11:00:00;21.832850000000008;24.72119444444261
2020-06-18 12:00:00;22.675400000000025;23.648677777776303
2020-06-18 13:00:00;22.78490000000005;23.761225340370466
2020-06-18 14:00:00;22.806179999999983;23.109691580992898
2020-06-18 15:00:00;22.398900000000026;22.624013888886672
2020-06-18 16:00:00;21.655700000000024;22.059841666664614
2020-06-18 17:00:00;19.783500000000004;21.82469999999784
2020-06-18 18:00:00;19.075900000000047;21.492777777775764
2020-06-18 19:00:00;18.54092000000003;20.385147222220393
2020-06-18 20:00:00;18.01490000000001;18.743869444442502
2020-06-18 21:00:00;16.898680000000013;17.763752777775746
2020-06-18 22:00:00;16.941300000000012;17.016186111109278
2020-06-18 23:00:00;16.639920000000018;16.448919444442424
2020-06-19 00:00:00;16.26266000000004;15.934530555553286
2020-06-19 01:00:00;15.768760000000043;15.645811111109236
2020-06-19 02:00:00;15.507839999999987;15.491302777775704
2020-06-19 03:00:00;15.229900000000043;15.09867222222023
2020-06-19 04:00:00;15.188960000000009;15.525644444442472
2020-06-19 05:00:00;15.739220000000046;16.49548333333133
2020-06-19 06:00:00;16.431970000000035;17.81190833333138
2020-06-19 07:00:00;18.310970000000054;19.265583333332025
2020-06-19 08:00:00;18.09820000000002;19.81463333333223
2020-06-19 09:00:00;19.208640000000003;20.329116666665065
2020-06-19 10:00:00;17.292400000000043;21.42999722222136
2020-06-19 11:00:00;18.63182999999998;21.639974999998323
2020-06-19 12:00:00;18.613699999999994;20.08638788552237
2020-06-19 13:00:00;19.162960000000055;21.21663611110941
2020-06-19 14:00:00;19.063260000000014;22.098663888887053
2020-06-19 15:00:00;19.156949999999995;21.38059722222059
2020-06-19 16:00:00;18.883230000000026;20.290661111109408
2020-06-19 17:00:00;18.329060000000027;19.969163888886868
2020-06-19 18:00:00;18.11608000000001;19.670688888887266
2020-06-19 19:00:00;17.098960000000034;18.92522222222091
2020-06-19 20:00:00;16.309300000000007;17.8830361111093
2020-06-19 21:00:00;15.682800000000043;17.21768507972499
2020-06-19 22:00:00;14.919760000000053;16.667308333331626
2020-06-19 23:00:00;14.404260000000022;16.214509585994293
2020-06-20 00:00:00;13.956700000000012;15.733434287300394
2020-06-20 01:00:00;13.557950000000005;
2020-06-20 02:00:00;13.36685;
2020-06-20 03:00:00;13.281520000000057;
2020-06-20 04:00:00;13.471600000000024;
2020-06-20 05:00:00;13.947780000000023;
2020-06-20 06:00:00;15.158170000000041;
2020-06-20 07:00:00;16.438500000000033;
2020-06-20 08:00:00;17.075900000000047;
2020-06-20 09:00:00;18.045529999999985;19.425217391302656
2020-06-20 10:00:00;18.413479999999993;21.749211111109656
2020-06-20 11:00:00;18.778099999999995;21.919069444442687
2020-06-20 12:00:00;19.759970000000067;21.48657422512034
2020-06-20 13:00:00;19.278380000000027;
2020-06-20 14:00:00;18.657460000000015;
